title,authors,url,session,abstract_takeaway
Fast Inverse Lithography via GRPO Reinforced Flow Matching,Yao Lai; Xuyuan Xiong; Zeyue Xue; Guojin Chen; Jing Wang; Xihui Liu; Rui Zhang; Robert Mullins; Bei Yu; Ping Luo,https://icml.cc/virtual/2026/poster/61189,Poster Session 6,"Focuses on flow matching, inverse lithography, fast inverse, lithography grpo, and grpo reinforced."
FedUSD: Unbiased Synthetic Data for Federated Learning,Weiying Xie; Chenhe Hao; Haozhi Shi; Jitao Ma; Daixun Li; Jiazhe Li; Hengyi Wang; Leyuan Fang; Yunsong Li,https://icml.cc/virtual/2026/poster/66100,Poster Session 6,"Focuses on unbiased synthetic, hob variance, fedusd unbiased, aggregation-free federated, and principal residual."
"Fix the Mind, Not the Move: Interpretable AI Assistance via Knowledge-Gap Localization",Ayano Hiranaka; Ya-Chuan Hsu; Stefanos Nikolaidis; Erdem Biyik; Daniel Seita,https://icml.cc/virtual/2026/poster/66137,Poster Session 1,"Focuses on fix mind, mind move, move interpretable, interpretable assistance, and assistance knowledge-gap."
FormAct: Agentic Source Editing for Rich-Format Document Generation,Eugene Yu; Xingxing Zhang; Yuan Xia; Tao Ge; XWang; FNU Kartik; Vishwas Suryanarayanan; Cheng Yang; Amanda Jiang; Jiayu Ding; Xiangyu Wong; Tengchao Lv; Lei Cui; Si-Qing Chen; Furu Wei; Sujian Li,https://icml.cc/virtual/2026/poster/61769,Poster Session 8,"Focuses on rich-format documents, formact agentic, professional rich-format, agentic editing, and editing rich-format."
FullStack-Agent: Enhancing Agentic Full-Stack Web Coding via Development-Oriented Testing and Repository Back-Translation,Zimu Lu; Houxing Ren; Yunqiao Yang; Ke Wang; Zhuofan Zong; Mingjie Zhan; Hongsheng Li,https://icml.cc/virtual/2026/poster/60686,Poster Session 8,"Focuses on full-stack web, frontend web, web pages, frontend backend, and backend database."
GeoReward: Mitigating Contextual Variable Overestimation in Vision-Language Models for Cross-Market Preference Prediction,Shuo Liu; Huixiang.Cai; Weiru Zhang; Xiaoyi Zeng,https://icml.cc/virtual/2026/poster/63647,Poster Session 5,"Focuses on contextual variable, variable overestimation, image preferences, preferences diverse, and diverse geographic."
GIFT: Bootstrapping Image-to-CAD Program Synthesis via Geometric Feedback,Giorgio Giannone; Anna Doris; Amin Nobari; Kai Xu; Akash Srivastava; Faez Ahmed,https://icml.cc/virtual/2026/poster/64635,Poster Session 6,"Focuses on geometric feedback, aligning visual, gift bootstrapping, bootstrapping image-to-cad, and image-to-cad program."
Grounded in Reality: Learning and Deploying Proactive LLM from Offline Logs,Fei Wei; Daoyuan Chen; Ce Wang; Yilun Huang; Yushuo Chen; Xuchen Pan; Yaliang Li; Bolin Ding,https://icml.cc/virtual/2026/poster/64860,Poster Session 8,"Focuses on grounded reality, reality deploying, deploying proactive, proactive llm, and llm offline."
InteractScience: Programmatic and Visually-Grounded Evaluation of Interactive Scientific Demonstration Code Generation,Qiaosheng Chen; Yang Liu; Lei Li; Kai Chen; Qipeng Guo; Gong Cheng; fei yuan,https://icml.cc/virtual/2026/poster/64106,Poster Session 8,"Focuses on interactive scientific, interactscience programmatic, programmatic visually-grounded, visually-grounded interactive, and scientific demonstration."
JADE: Expert-Grounded Dynamic Evaluation for Open-Ended Professional Tasks,Lanbo Lin; Jiayao Liu; Tianyuan Yang; Li Cai; Yuanwu Xu; Lei Wei; TT; Guannan Zhang,https://icml.cc/virtual/2026/poster/63884,Poster Session 8,"Focuses on open-ended professional, professional tasks, jade expert-grounded, expert-grounded dynamic, and dynamic open-ended."
JAEGER: Joint 3D Audio-Visual Grounding and Reasoning in Simulated Physical Environments,Zhan Liu; Changli Tang; Yuxin WANG; Zhiyuan Zhu; Youjun Chen; Yiwen Shao; TIANZI WANG; Lei Ke; Zengrui Jin; Chao Zhang,https://icml.cc/virtual/2026/poster/61417,Poster Session 1,"Focuses on physical environments, grounding reasoning, simulated physical, jaeger joint, and joint audio-visual."
Large-Scale Notification Dispatch with Bundle Treatments and Multi-Outcome Uplift Optimization,Jiajing Xu; Yanyun Li; Songyongbao; Minqin Zhu; Huxiao Ji; Linchuan Li; Cunyi Zhang; lixuanping; Kaiqiao Zhan; Yanan Niu,https://icml.cc/virtual/2026/poster/65977,Poster Session 6,"Focuses on notification dispatch, bundle treatments, timing presentation, presentation style, and constrained optimization."
Learning to Decode Against Compositional Hallucination in Video Multimodal Large Language Models,Wenbin Xing; Quanxing Zha; Lizheng Zu; Mengran Li; Ming Li; Junchi Yan,https://icml.cc/virtual/2026/poster/60555,,"Focuses on compositional hallucination, video multimodal, multimodal large, decode compositional, and hallucination video."
LLM4Cov: Execution-Grounded Agent Learning for High-Coverage Hardware Verification,Hejia Zhang; Zhongming Yu; Chia-Tung Ho; Mark Ren; Brucek Khailany; Jishen Zhao,https://icml.cc/virtual/2026/poster/61436,Poster Session 5,"Focuses on high-coverage hardware, hardware verification, llm4cov execution-grounded, execution-grounded agent, and agent high-coverage."
LMM4-IC4K: A Large Multimodal Model Powered Integrated Circuit Footprint Geometry Understanding,Yida Wang; Taiting Lu; Runze Liu; Lanqing Yang; Zhe Chen; Yuehai Wang; Yixin Liu; Kaiyuan Lin; XiaoMeng Chen; Dian Ding; Yijie Li; Yifan Yang; Yi-Chao Chen; yincheng jin; Mahanth Gowda,https://icml.cc/virtual/2026/poster/65113,Poster Session 5,"Focuses on large multimodal, footprint geometry, geometry labeling, lmm4-ic4k large, and multimodal powered."
MARS: Modular Agent with Reflective Search for Automated AI Research,Jiefeng Chen; Bhavana Dalvi Mishra; Jaehyun Nam; Rui Meng; Tomas Pfister; Jinsung Yoon,https://icml.cc/virtual/2026/poster/61408,Poster Session 2,"Focuses on mars modular, modular agent, agent reflective, reflective search, and search automated."
MatchFixAgent: Language-Agnostic Autonomous Repository-Level Code Translation Validation and Repair,Ali Reza Ibrahimzada; Brandon Paulsen; Reyhaneh Jabbarvand; Joey Dodds; Daniel Kroening,https://icml.cc/virtual/2026/poster/64503,,"Focuses on validation repair, equivalence validation, repository-level translation, matchfixagent result, and matchfixagent language-agnostic."
MathlibLemma: Folklore Lemma Generation and Benchmark for Formal Mathematics,Xinyu Liu; Zixuan Xie; Amir Moeini; Claire Chen; Shuze Liu; Yu Meng; Aidong Zhang; Shangtong Zhang,https://icml.cc/virtual/2026/poster/66568,Poster Session 8,"Focuses on folklore lemmas, formal mathematical, mathliblemma folklore, lemma generation, and generation formal."
MOOSE-Star: Unlocking Tractable Training for Scientific Discovery by Breaking the Complexity Barrier,Zonglin Yang; Lidong Bing,https://icml.cc/virtual/2026/poster/64492,Poster Session 8,"Focuses on tractable training, scientific discovery, moose-star unlocking, unlocking tractable, and training scientific."
Needles in the Haystack: Addressing Signal Dilution Improves scRNA-seq Perturbation Response Modeling and Evaluation,Gabriel Mejia; Henry Miller; Francis Leblanc; BO WANG; Brendan Swain; Lucas Paulo de Lima Camillo,https://icml.cc/virtual/2026/poster/63346,Poster Session 4,"Focuses on perturbation response, needles haystack, haystack addressing, addressing signal, and signal dilution."
Nested birth-death processes are competitive with parameter-heavy neural networks as time-dependent models of protein evolution,Annabel Large; Ian Holmes,https://icml.cc/virtual/2026/poster/61376,Poster Session 6,"Focuses on finite-state markov, evolutionary time, nested birth-death, birth-death processes, and processes competitive."
PerceptOS: Semantic-Aware Kernel Optimization for OS-Intensive Workloads via Hardware-Software Alignment,Huilai Chen; Yuanbo Wen; Liangfeng Li; Shaohui Peng; Jingzhe Zhu; Xuzhi Zhang; Jun Bi; Qi Guo; Ling Li; Yunji Chen,https://icml.cc/virtual/2026/poster/63074,Poster Session 6,"Focuses on perceptos semantic-aware, semantic-aware kernel, kernel optimization, optimization os-intensive, and os-intensive workloads."
Pianist Transformer: Towards Expressive Piano Performance Rendering via Scalable Self-Supervised Pre-Training,Hong-Jie You; Jie-Jing Shao; Xiao-Wen Yang; Lin-Han Jia; Lan-Zhe Guo; Yu-Feng Li,https://icml.cc/virtual/2026/poster/61542,Poster Session 4,"Focuses on pianist transformer, expressive piano, piano rendering, transformer expressive, and rendering scalable."
Position: AI Should Facilitate Democratic Deliberation at Scale,José Ramón Enríquez; Jiaxin Pei; Alex Pentland,https://icml.cc/virtual/2026/poster/67203,Poster Session 8,"Focuses on deliberation scale, position should, should facilitate, facilitate democratic, and democratic deliberation."
Position: The Case for Theory-Level Autoformalization,Marcus Min; Deyuan Mike He; Zhaoyu Li; Zixuan Yi; Sharad Malik; Aarti Gupta; Xujie Si; Osbert Bastani,https://icml.cc/virtual/2026/poster/67212,Poster Session 2,"Focuses on theory-level autoformalization, position case, case theory-level, autoformalization translating, and translating informal."
Position: Web Agents Should Use Typed Actions Instead of Click-Based Browsing,Linxi Jiang; Rui Xi; Zhijie Liu; Shuo Chen; Zhiqiang Lin; Suman Nath,https://icml.cc/virtual/2026/poster/67155,Poster Session 2,"Focuses on semantic layer, typed actions, click-based browsing, position web, and web agents."
ProRL: Effective Reinforcement Learning for Proactive Recommendation via Rectified Policy Gradient Estimation,Hongru Hou; Tiehua Mei; Denghui Geng; Jinhui Huang; Ao Xu; Hengrui Chen; Jiaqing Liang; Deqing Yang,https://icml.cc/virtual/2026/poster/61903,Poster Session 6,"Focuses on proactive recommendation, gradient estimation, policy gradients, length-dependent bias, and path extension."
Recovering Policy-Induced Errors: Benchmarking and Trajectory Synthesis for Robust GUI Agents,Tianpeng Bu; Xin Liu; Qihua Chen; Hao Jiang; Shurui Li; hongtao duan; Lu Jiang; lulu hu; Bin Yang; Minying Zhang,https://icml.cc/virtual/2026/poster/62251,Poster Session 5,"Focuses on trajectory synthesis, gui agents, error recovery, error modes, and recovering policy-induced."
RulePlanner: All-in-One Reinforcement Learner for Unifying Design Rules in 3D Floorplanning,Ruizhe Zhong; Xingbo Du; Junchi Yan,https://icml.cc/virtual/2026/poster/66120,Poster Session 6,"Focuses on all-in-one reinforcement, hardware rules, ruleplanner all-in-one, reinforcement learner, and learner unifying."
SKETCH: Semantic Key-Point Conditioning for Long-Horizon Vessel Trajectory Prediction,Linyong Gan; Zimo Li; Wenxin XU; Xingjian Li; Jianhua Huang; Enmei Tu; Shuhang Chen,https://icml.cc/virtual/2026/poster/64033,Poster Session 5,"Focuses on trajectory prediction, long-horizon vessel, vessel trajectory, future trajectories, and sketch semantic."
SoftBinary Coding: A New Information-Theoretic Paradigm for Neural Compression via Fast Channel Simulation,Ezgi Ozyilkan; Sharang Sriramu; Elza Erkip; Aaron Wagner; Jona Ballé,https://icml.cc/virtual/2026/poster/64007,Poster Session 5,"Focuses on vector quantization, softbinary coding, neural compression, channel simulation, and continuous transforms."
Strat-Reasoner: Reinforcing Strategic Reasoning of LLMs in Multi-Agent Games,Yidong He; Yutao Lai; Pengxu Yang; Jiarui Gan; Jiexin Wang; Yi Cai; Mengchen Zhao,https://icml.cc/virtual/2026/poster/63649,Poster Session 1,"Focuses on multi-agent games, other agents, strategic reasoning, reasoning process, and agents reasoning."
SWE-fficiency: Can Language Models Optimize Real-World Repositories on Real Workloads?,Jeffrey Ma; Milad Hashemi; Amir Yazdanbakhsh; Kevin Swersky; Ofir Press; Enhui Li; Vijay Janapa Reddi; Parthasarathy Ranganathan,https://icml.cc/virtual/2026/poster/66745,Poster Session 1,"Focuses on expert speedup, real workloads, unit tests, swe-fficiency language, and language optimize."
Threat2Traffic: Multi-Agent Environment Synthesis for Malware Traffic Generation from Threat Intelligence,Haoyang Chen; Chang Liu; Zhong Guan; Junzheng Shi; Gaopeng Gou; Gang Xiong,https://icml.cc/virtual/2026/poster/64510,,"Focuses on malware traffic, threat intelligence, threat2traffic multi-agent, traffic generation, and sample-specific dependencies."
XDomainBench: Diagnosing Reasoning Collapse in High-Dimensional Scientific Knowledge Composition,Zhiren Gong; Tiantong Wu; Jiaming Zhang; Fuyao Zhang; CHE WANG; Yurong Hao; Yikun Hou; Foo Ping; Yilei Zhao; Fei Huang; Chau Yuen; Wei Lim,https://icml.cc/virtual/2026/poster/63740,Poster Session 1,"Focuses on reasoning collapse, scientific knowledge, composition order, trajectory patterns, and xdomainbench diagnosing."
